Symbol,Name,Country,Sector,IPO Year,Industry
PLD,Prologis Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
AMD,Advanced Micro Devices Inc. Common Stock,United States,Technology,,Semiconductors
BP,BP p.l.c. Common Stock,United Kingdom,Energy,,Integrated oil Companies
MDT,Medtronic plc. Ordinary Shares,United States,Health Care,,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CI,Cigna Corporation Common Stock,United States,Health Care,,Medical Specialities
DEO,Diageo plc Common Stock,United Kingdom,Consumer Staples,,Beverages (Production/Distribution)
ADP,Automatic Data Processing Inc. Common Stock,United States,Consumer Discretionary,,Business Services
EIX,Edison International Common Stock,United States,Utilities,,Electric Utilities: Central
AMT,American Tower Corporation (REIT) Common Stock,United States,Real Estate,,Real Estate Investment Trusts
SONY,Sony Group Corporation American Depositary Shares ,Japan,Consumer Staples,,Consumer Electronics/Appliances
ISRG,Intuitive Surgical Inc. Common Stock,United States,Health Care,2000.0,Medical/Dental Instruments
SYK,Stryker Corporation Common Stock,United States,Health Care,,Medical/Dental Instruments
MDLZ,Mondelez International Inc. Class A Common Stock,United States,Consumer Staples,,Meat/Poultry/Fish
TJX,TJX Companies Inc. (The) Common Stock,United States,Consumer Discretionary,,Department/Specialty Retail Stores
JD,JD.com Inc. American Depositary Shares,China,Consumer Discretionary,2014.0,Catalog/Specialty Distribution
CB,Chubb Limited  Common Stock,Switzerland,Finance,,Property-Casualty Insurers
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,United Kingdom,Health Care,1998.0, Medicinal Chemicals and Botanical Products 
GE,General Electric Company Common Stock,United States,Consumer Discretionary,,Metal Fabrications
EL,Estee Lauder Companies Inc. (The) Common Stock,United States,Consumer Discretionary,1995.0,Package Goods/Cosmetics
C,Citigroup Inc. Common Stock,United States,Finance,,Major Banks
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Japan,Finance,,Commercial Banks
ADI,Analog Devices Inc. Common Stock,United States,Technology,,Semiconductors
AMAT,Applied Materials Inc. Common Stock,United States,Technology,1972.0,Semiconductors
MMC,Marsh & McLennan Companies Inc. Common Stock,United States,Finance,,Specialty Insurers
MO,Altria Group Inc.,United States,Health Care,, Medicinal Chemicals and Botanical Products 
NOC,Northrop Grumman Corporation Common Stock,United States,Technology,,Security Systems Services
MRNA,Moderna Inc. Common Stock,United States,Health Care,2018.0,Biotechnology: Biological Products (No Diagnostic Substances)
REGN,Regeneron Pharmaceuticals Inc. Common Stock,United States,Health Care,1991.0,Biotechnology: Pharmaceutical Preparations
ENB,Enbridge Inc Common Stock,Canada,Energy,,Oil & Gas Production
DUK,Duke Energy Corporation (Holding Company) Common Stock,United States,Utilities,,Power Generation
PYPL,PayPal Holdings Inc. Common Stock,United States,Consumer Discretionary,,Business Services
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,Brazil,Basic Materials,,Metal Mining
SO,Southern Company (The) Common Stock,United States,Utilities,,Power Generation
NOW,ServiceNow Inc. Common Stock,United States,Technology,2012.0,Computer Software: Prepackaged Software
IBN,ICICI Bank Limited Common Stock,India,Finance,,Commercial Banks
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,United States,Health Care,1991.0,Biotechnology: Pharmaceutical Preparations
PGR,Progressive Corporation (The) Common Stock,United States,Finance,,Property-Casualty Insurers
INFY,Infosys Limited American Depositary Shares,India,Technology,,EDP Services
BKNG,Booking Holdings Inc. Common Stock,United States,Consumer Discretionary,,Other Consumer Services
EOG,EOG Resources Inc. Common Stock,United States,Energy,,Oil & Gas Production
SLB,Schlumberger N.V. Common Stock,France,Energy,,Oilfield Services/Equipment
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),United Kingdom,Health Care,2022.0,Biotechnology: Pharmaceutical Preparations
BDX,Becton Dickinson and Company Common Stock,United States,Health Care,,Medical/Dental Instruments
APD,Air Products and Chemicals Inc. Common Stock,United States,Industrials,,Specialty Chemicals
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,Brazil,Energy,,Oil & Gas Production
HCA,HCA Healthcare Inc. Common Stock,United States,Health Care,2011.0,Hospital/Nursing Management
GD,General Dynamics Corporation Common Stock,United States,Industrials,,Aerospace
ITW,Illinois Tool Works Inc. Common Stock,United States,Industrials,,Industrial Machinery/Components
ZTS,Zoetis Inc. Class A Common Stock,United States,Health Care,2013.0,Biotechnology: Pharmaceutical Preparations
MMM,3M Company Common Stock,United States,Industrials,,Consumer Electronics/Appliances
CHTR,Charter Communications Inc. Class A Common Stock New,United States,Consumer Discretionary,,Telecommunications Equipment
CL,Colgate-Palmolive Company Common Stock,United States,Consumer Discretionary,,Package Goods/Cosmetics
BSX,Boston Scientific Corporation Common Stock,United States,Health Care,,Medical/Dental Instruments
USB,U.S. Bancorp Common Stock,United States,Finance,,Major Banks
CSX,CSX Corporation Common Stock,United States,Industrials,,Railroads
TGT,Target Corporation Common Stock,United States,Consumer Discretionary,,Department/Specialty Retail Stores
HUM,Humana Inc. Common Stock,United States,Health Care,,Medical Specialities
WM,Waste Management Inc. Common Stock,United States,Utilities,,Environmental Services
FISV,Fiserv Inc. Common Stock,United States,Consumer Discretionary,1986.0,Business Services
SHW,Sherwin-Williams Company (The) Common Stock,United States,Consumer Discretionary,,Paints/Coatings
CME,CME Group Inc. Class A Common Stock,United States,Finance,2002.0,Investment Bankers/Brokers/Service
PNC,PNC Financial Services Group Inc. (The) Common Stock,United States,Finance,,Major Banks
AON,Aon plc Class A Ordinary Shares (Ireland),United States,Finance,,Specialty Insurers
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,Industrials,,Industrial Machinery/Components
EQIX,Equinix Inc. Common Stock REIT,United States,Real Estate,2000.0,Real Estate Investment Trusts
ATVI,Activision Blizzard Inc. Common Stock,United States,Consumer Discretionary,,Recreational Games/Products/Toys
CCI,Crown Castle Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
UBS,UBS Group AG Registered Ordinary Shares,Switzerland,Finance,2014.0,Major Banks
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,Mexico,Telecommunications,,Telecommunications Equipment
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,Mexico,Telecommunications,,Telecommunications Equipment
ICE,Intercontinental Exchange Inc. Common Stock,United States,Finance,2005.0,Investment Bankers/Brokers/Service
NSC,Norfolk Southern Corporation Common Stock,United States,Industrials,,Railroads
TFC,Truist Financial Corporation Common Stock,United States,Finance,,Major Banks
MET,MetLife Inc. Common Stock,United States,Finance,2000.0,Life Insurance
ABB,ABB Ltd Common Stock,Switzerland,Energy,,Electrical Products
OXY,Occidental Petroleum Corporation Common Stock,United States,Energy,,Oil & Gas Production
LRCX,Lam Research Corporation Common Stock,United States,Technology,1984.0,Industrial Machinery/Components
EMR,Emerson Electric Company Common Stock,United States,Industrials,,Industrial Machinery/Components
DG,Dollar General Corporation Common Stock,United States,Consumer Discretionary,2009.0,Department/Specialty Retail Stores
BX,Blackstone Inc. Common Stock,United States,Finance,2007.0,Investment Managers
MCK,McKesson Corporation Common Stock,United States,Health Care,,Other Pharmaceuticals
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),Japan,Finance,,Commercial Banks
MU,Micron Technology Inc. Common Stock,United States,Technology,,Semiconductors
FCX,Freeport-McMoRan Inc. Common Stock,United States,Basic Materials,,Metal Mining
AIG,American International Group Inc. New Common Stock,United States,Finance,,Life Insurance
RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),United Kingdom,Consumer Discretionary,2015.0,Business Services
KLAC,KLA Corporation Common Stock,United States,Technology,1980.0,Electronic Components
MNST,Monster Beverage Corporation,United States,Consumer Staples,,Beverages (Production/Distribution)
MPC,Marathon Petroleum Corporation Common Stock,United States,Energy,,Integrated oil Companies
PXD,Pioneer Natural Resources Company Common Stock,United States,Energy,,Oil & Gas Production
VMW,Vmware Inc. Common stock Class A,United States,Technology,2007.0,Computer Software: Prepackaged Software
ORLY,O'Reilly Automotive Inc. Common Stock,United States,Consumer Discretionary,1993.0,Auto & Home Supply Stores
KDP,Keurig Dr Pepper Inc. Common Stock,United States,Consumer Staples,,Beverages (Production/Distribution)
EPD,Enterprise Products Partners L.P. Common Stock,United States,Utilities,,Natural Gas Distribution
MCO,Moody's Corporation Common Stock,United States,Finance,,Advertising
BN,Brookfield Corporation Class A Limited Voting Shares,Canada,Consumer Discretionary,1925.0,Other Consumer Services
ABNB,Airbnb Inc. Class A Common Stock,United States,Consumer Discretionary,2020.0,Hotels/Resorts
D,Dominion Energy Inc. Common Stock,United States,Utilities,,Electric Utilities: Central
GIS,General Mills Inc. Common Stock,United States,Consumer Staples,,Food Chains
E,ENI S.p.A. Common Stock,Italy,Energy,,Oil & Gas Production
SAN,Banco Santander S.A. Sponsored ADR (Spain),Spain,Finance,,Commercial Banks
KHC,The Kraft Heinz Company Common Stock,United States,Consumer Staples,,Farming/Seeds/Milling
SRE,DBA Sempra Common Stock,United States,Utilities,,Oil/Gas Transmission
PSA,Public Storage Common Stock,United States,Real Estate,,Real Estate Investment Trusts
UBER,Uber Technologies Inc. Common Stock,,Technology,2019.0,EDP Services
SNPS,Synopsys Inc. Common Stock,United States,Technology,1992.0,EDP Services
AEP,American Electric Power Company Inc. Common Stock,United States,Utilities,,Electric Utilities: Central
HSY,The Hershey Company Common Stock,United States,Consumer Staples,,Specialty Foods
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),,Health Care,2018.0,Biotechnology: Pharmaceutical Preparations
GM,General Motors Company Common Stock,United States,Consumer Discretionary,2010.0,Auto Manufacturing
PSX,Phillips 66 Common Stock,United States,Energy,,Integrated oil Companies
NTES,NetEase Inc. American Depositary Shares,China,Consumer Discretionary,,Recreational Games/Products/Toys
SCCO,Southern Copper Corporation Common Stock,United States,Basic Materials,,Metal Mining
MAR,Marriott International Class A Common Stock,United States,Consumer Discretionary,,Hotels/Resorts
CNC,Centene Corporation Common Stock,United States,Health Care,,Medical Specialities
KMB,Kimberly-Clark Corporation Common Stock,United States,Consumer Discretionary,,Paper
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),Brazil,Finance,,Commercial Banks
VLO,Valero Energy Corporation Common Stock,United States,Energy,,Integrated oil Companies
EW,Edwards Lifesciences Corporation Common Stock,United States,Health Care,,Industrial Specialties
CTAS,Cintas Corporation Common Stock,United States,Consumer Discretionary,1983.0,Business Services
FDX,FedEx Corporation Common Stock,United States,Consumer Discretionary,,Air Freight/Delivery Services
F,Ford Motor Company Common Stock,United States,Consumer Discretionary,,Auto Manufacturing
ROP,Roper Technologies Inc. Common Stock,United States,Industrials,1992.0,Office Equipment/Supplies/Services
APH,Amphenol Corporation Common Stock,United States,Technology,,Electrical Products
SNOW,Snowflake Inc. Class A Common Stock,United States,Technology,2020.0,Computer Software: Prepackaged Software
ING,ING Group N.V. Common Stock,Netherlands,Finance,1997.0,Commercial Banks
STLA,Stellantis N.V. Common Shares,United Kingdom,Consumer Discretionary,2014.0,Auto Manufacturing
CDNS,Cadence Design Systems Inc. Common Stock,United States,Technology,,Computer Software: Prepackaged Software
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,United Kingdom,Utilities,,Natural Gas Distribution
AFL,AFLAC Incorporated Common Stock,United States,Finance,,Accident &Health Insurance
JCI,Johnson Controls International plc Ordinary Share,Switzerland,Consumer Discretionary,,Auto Parts:O.E.M.
A,Agilent Technologies Inc. Common Stock,United States,Industrials,1999.0,Electrical Products
MELI,MercadoLibre Inc. Common Stock,Argentina,Consumer Discretionary,2007.0,Catalog/Specialty Distribution
DXCM,DexCom Inc. Common Stock,United States,Health Care,2005.0,Medical Specialities
TRV,The Travelers Companies Inc. Common Stock,United States,Finance,,Property-Casualty Insurers
BNTX,BioNTech SE American Depositary Share,Germany,Health Care,2019.0,Biotechnology: Biological Products (No Diagnostic Substances)
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Staples,2013.0,Beverages (Production/Distribution)
PANW,Palo Alto Networks Inc. Common Stock,United States,Technology,,EDP Services
MSI,Motorola Solutions Inc. Common Stock,United States,Technology,,Radio And Television Broadcasting And Communications Equipment
STZ,Constellation Brands Inc. Common Stock,United States,Consumer Staples,,Beverages (Production/Distribution)
WDAY,Workday Inc. Class A Common Stock,United States,Technology,,Computer Software: Prepackaged Software
EXC,Exelon Corporation Common Stock,United States,Utilities,,Power Generation
CTVA,Corteva Inc. Common Stock ,,Industrials,2019.0,Major Chemicals
HES,Hess Corporation Common Stock,United States,Energy,,Oil & Gas Production
RSG,Republic Services Inc. Common Stock,United States,Utilities,1998.0,Environmental Services
NXPI,NXP Semiconductors N.V. Common Stock,Netherlands,Technology,2010.0,Semiconductors
ECL,Ecolab Inc. Common Stock,United States,Consumer Discretionary,,Package Goods/Cosmetics
ENPH,Enphase Energy Inc. Common Stock,United States,Technology,2012.0,Electrical Products
ADSK,Autodesk Inc. Common Stock,United States,Technology,,Computer Software: Prepackaged Software
PAYX,Paychex Inc. Common Stock,United States,Consumer Discretionary,1983.0,Business Services
BIIB,Biogen Inc. Common Stock,United States,Health Care,,Biotechnology: Pharmaceutical Preparations
KKR,KKR & Co. Inc. Common Stock,United States,Finance,,Investment Managers
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Brazil,Finance,2009.0,Commercial Banks
BCE,BCE Inc. Common Stock,Canada,Telecommunications,,Telecommunications Equipment
LULU,lululemon athletica inc. Common Stock,Canada,Consumer Discretionary,2007.0,Department/Specialty Retail Stores
KMI,Kinder Morgan Inc. Common Stock,United States,Utilities,2011.0,Natural Gas Distribution
O,Realty Income Corporation Common Stock,United States,Real Estate,,Real Estate Investment Trusts
WMB,Williams Companies Inc. (The) Common Stock,United States,Utilities,,Natural Gas Distribution
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,,Specialty Insurers
FIS,Fidelity National Information Services Inc. Common Stock,United States,Consumer Discretionary,,Business Services
DVN,Devon Energy Corporation Common Stock,United States,Energy,1985.0,Oil & Gas Production
ROST,Ross Stores Inc. Common Stock,United States,Consumer Discretionary,1985.0,Clothing/Shoe/Accessory Stores
SYY,Sysco Corporation Common Stock,United States,Consumer Discretionary,,Food Distributors
CMG,Chipotle Mexican Grill Inc. Common Stock,United States,Consumer Discretionary,2006.0,Restaurants
LHX,L3Harris Technologies Inc. Common Stock,United States,Industrials,,Industrial Machinery/Components
TT,Trane Technologies plc,Ireland,Industrials,,Industrial Machinery/Components
BIDU,Baidu Inc. ADS,China,Technology,2005.0,Computer Software: Programming Data Processing
HMC,Honda Motor Company Ltd. Common Stock,Japan,Consumer Discretionary,,Auto Manufacturing
RACE,Ferrari N.V. Common Shares,,Consumer Discretionary,2015.0,Auto Manufacturing
FTNT,Fortinet Inc. Common Stock,United States,Technology,2009.0,Security Systems Services
MCHP,Microchip Technology Incorporated Common Stock,United States,Technology,1993.0,Semiconductors
XEL,Xcel Energy Inc. Common Stock,United States,Utilities,,Power Generation
SPG,Simon Property Group Inc. Common Stock,United States,Real Estate,,Real Estate Investment Trusts
NTR,Nutrien Ltd. Common Shares,,Industrials,2018.0,Aerospace
LNG,Cheniere Energy Inc. Common Stock,United States,Utilities,2001.0,Oil/Gas Transmission
IQV,IQVIA Holdings Inc. Common Stock,United States,Health Care,2013.0,Managed Health Care
NEM,Newmont Corporation,United States,Basic Materials,,Precious Metals
PH,Parker-Hannifin Corporation Common Stock,United States,Industrials,,Office Equipment/Supplies/Services
LYG,Lloyds Banking Group Plc American Depositary Shares,United Kingdom,Finance,,Commercial Banks
MSCI,MSCI Inc Common Stock,United States,Finance,,Advertising
ANET,Arista Networks Inc. Common Stock,,Technology,2014.0,Computer peripheral equipment
APO,Apollo Global Management Inc. (New) Common Stock,,Finance,,Investment Managers
ET,Energy Transfer LP Common Units ,United States,Utilities,,Natural Gas Distribution
PUK,Prudential Public Limited Company Common Stock,United Kingdom,Finance,,Life Insurance
PRU,Prudential Financial Inc. Common Stock,United States,Finance,2001.0,Life Insurance
YUM,Yum! Brands Inc.,United States,Consumer Discretionary,,Restaurants
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,Switzerland,Technology,,Industrial Machinery/Components
SQ,Block Inc. Class A Common Stock,United States,Technology,2015.0,Computer Software: Prepackaged Software
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Spain,Finance,,Commercial Banks
BK,The Bank of New York Mellon Corporation Common Stock,United States,Finance,,Investment Managers
ALL,Allstate Corporation (The) Common Stock,United States,Finance,,Property-Casualty Insurers
LVS,Las Vegas Sands Corp. Common Stock,United States,Consumer Discretionary,2004.0,Hotels/Resorts
DOW,Dow Inc. Common Stock ,,Industrials,2019.0,Industrial Specialties
NUE,Nucor Corporation Common Stock,United States,Industrials,,Steel/Iron Ore
CARR,Carrier Global Corporation Common Stock ,,Consumer Discretionary,2020.0,Wholesale Distributors
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Japan,Finance,,Major Banks
PCAR,PACCAR Inc. Common Stock,United States,Industrials,,Construction/Ag Equipment/Trucks
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,,Other Pharmaceuticals
IDXX,IDEXX Laboratories Inc. Common Stock,United States,Health Care,1991.0,Biotechnology: In Vitro & In Vivo Diagnostic Substances
COF,Capital One Financial Corporation Common Stock,United States,Finance,1994.0,Finance Companies
HAL,Halliburton Company Common Stock,United States,Energy,,Oil & Gas Production
HLT,Hilton Worldwide Holdings Inc. Common Stock ,,Consumer Discretionary,2016.0,Hotels/Resorts
WCN,Waste Connections Inc. Common Shares,Canada,Utilities,,Power Generation
CMI,Cummins Inc. Common Stock,United States,Industrials,,Construction/Ag Equipment/Trucks
PCG,Pacific Gas & Electric Co. Common Stock,United States,Utilities,,Power Generation
ED,Consolidated Edison Inc. Common Stock,United States,Utilities,,Power Generation
TDG,Transdigm Group Incorporated Common Stock,United States,Industrials,2006.0,Military/Government/Technical
DD,DuPont de Nemours Inc. Common Stock,,Consumer Discretionary,2017.0,Wholesale Distributors
EA,Electronic Arts Inc. Common Stock,United States,Consumer Discretionary,,Recreational Games/Products/Toys
ALC,Alcon Inc. Ordinary Shares,Switzerland,Health Care,2019.0,Ophthalmic Goods
MFC,Manulife Financial Corporation Common Stock,Canada,Consumer Discretionary,,Advertising
WBA,Walgreens Boots Alliance Inc. Common Stock,United States,Consumer Staples,,Retail-Drug Stores and Proprietary Stores
AMP,Ameriprise Financial Inc. Common Stock,United States,Finance,,Investment Managers
STM,STMicroelectronics N.V. Common Stock,Switzerland,Technology,,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,United Kingdom,Technology,2015.0,EDP Services
KR,Kroger Company (The) Common Stock,United States,Consumer Staples,,Food Chains
MPLX,MPLX LP Common Units Representing Limited Partner Interests,United States,Energy,2012.0,Oil & Gas Production
MTD,Mettler-Toledo International Inc. Common Stock,Switzerland,Health Care,1997.0,Medical Specialities
AME,AMETEK Inc.,United States,Industrials,,Industrial Machinery/Components
MRVL,Marvell Technology Inc. Common Stock,Bermuda,Technology,2000.0,Semiconductors
CSGP,CoStar Group Inc. Common Stock,United States,Finance,1998.0,Real Estate
ODFL,Old Dominion Freight Line Inc. Common Stock,United States,Industrials,1991.0,Trucking Freight/Courier Services
VICI,VICI Properties Inc. Common Stock,,Real Estate,2018.0,Real Estate Investment Trusts
