Symbol,Name,Industry
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LTIM,LTIMindtree Ltd.,Information Technology
LT,Larsen & Toubro Ltd.,Construction
LAURUSLABS,Laurus Labs Ltd.,Healthcare
LICI,Life Insurance Corporation of India,Financial Services
LINDEINDIA,Linde India Ltd.,Chemicals
LUPIN,Lupin Ltd.,Healthcare
MRF,MRF Ltd.,Automobile and Auto Components
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MFSL,Max Financial Services Ltd.,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
MPHASIS,MphasiS Ltd.,Information Technology
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NTPC,NTPC Ltd.,Power
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services
OBEROIRLTY,Oberoi Realty Ltd.,Realty
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels
PAYTM,One 97 Communications Ltd.,Financial Services
OFSS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR,PB Fintech Ltd.,Financial Services
PIIND,PI Industries Ltd.,Chemicals
PAGEIND,Page Industries Ltd.,Textiles
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,Information Technology
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PIDILITIND,Pidilite Industries Ltd.,Chemicals
POLYCAB,Polycab India Ltd.,Capital Goods
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services
PFC,Power Finance Corporation Ltd.,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,Power
PRESTIGE,Prestige Estates Projects Ltd.,Realty
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods
PNB,Punjab National Bank,Financial Services
RECLTD,REC Ltd.,Financial Services
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
SRF,SRF Ltd.,Chemicals
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SHREECEM,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services
SIEMENS,Siemens Ltd.,Capital Goods
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SBIN,State Bank of India,Financial Services
SAIL,Steel Authority of India Ltd.,Metals & Mining
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication
SYNGENE,Syngene International Ltd.,Healthcare
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components
TATACHEM,Tata Chemicals Ltd.,Chemicals
TATACOMM,Tata Communications Ltd.,Telecommunication
TCS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,Information Technology
TATAMOTORS,Tata Motors Ltd.,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication
TECHM,Tech Mahindra Ltd.,Information Technology
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials
TITAN,Titan Company Ltd.,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
TORNTPOWER,Torrent Power Ltd.,Power
TRENT,Trent Ltd.,Consumer Services
TRIDENT,Trident Ltd.,Textiles
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components
UPL,UPL Ltd.,Chemicals
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UBL,United Breweries Ltd.,Fast Moving Consumer Goods
MCDOWELL-N,United Spirits Ltd.,Fast Moving Consumer Goods
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
IDEA,Vodafone Idea Ltd.,Telecommunication
VOLTAS,Voltas Ltd.,Consumer Durables
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables
WIPRO,Wipro Ltd.,Information Technology
YESBANK,Yes Bank Ltd.,Financial Services
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication
ZOMATO,Zomato Ltd.,Consumer Services
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare
